Code,Title1,Title,Name,Des,Tag,Pro,Time,Course,Credit
367004,전공,핀테크전공,c언어프로그래밍,C언어의 문법을 익혀서 응용프로그램을 개발할 수 있는 전공의 ICT기반 능력을 함양.,"팀플,중간시험,기말시험",이승화,"수1,2,3",3학점,4.73
367005,전공,핀테크전공,c언어프로그래밍,C언어의 문법을 익혀서 응용프로그램을 개발할 수 있는 전공의 ICT기반 능력을 함양.,"팀플,발표,중간시험,기말시험",김귀정,"월4,5,6",3학점,4.27
367006,전공,핀테크전공,c언어프로그래밍,C언어의 문법을 익혀서 응용프로그램을 개발할 수 있는 전공의 ICT기반 능력을 함양.,"팀플,발표,중간시험,기말시험",김귀정,"목4,5,6",3학점,4.27
948101,전공,핀테크전공,파이썬프로그래밍,파이썬 프로그램을 이용하여 IT분야 프로그램을 개발할 수 있는 능력을 배양하는교과목,"과제,실습,중간시험,기말시험",홍경호,"수1,2,3",3학점,2.33
948102,전공,핀테크전공,파이썬프로그래밍,파이썬 프로그램을 이용하여 IT분야 프로그램을 개발할 수 있는 능력을 배양하는교과목,"팀플,중간시험,기말시험",김동우,"목1,2,3",3학점,3.33
948104,전공,핀테크전공,파이썬프로그래밍,파이썬 프로그램을 이용하여 IT분야 프로그램을 개발할 수 있는 능력을 배양하는교과목,"중간시험,기말시험",구미순,"목7,8,9",3학점,4.6
367101,전공,핀테크전공,JAVA프로그래밍,객체지향 개념을 기반으로 자바언어 문법 및 프로그래밍 기법을 학습한다.,"실습,중간시험,기말시험",강윤희,"월4,5,6",3학점,3.31
367102,전공,핀테크전공,JAVA프로그래밍,객체지향 개념을 기반으로 자바언어 문법 및 프로그래밍 기법을 학습한다.,"실습,중간시험,기말시험",강윤희,"화5,6,7",3학점,3.31
367103,전공,핀테크전공,JAVA프로그래밍,객체지향 개념을 기반으로 자바언어 문법 및 프로그래밍 기법을 학습한다.,"과제,중간시험,기말시험",유진호,"월7,8,9",3학점,4.63
367104,전공,핀테크전공,JAVA프로그래밍,객체지향 개념을 기반으로 자바언어 문법 및 프로그래밍 기법을 학습한다.,"실습,개인프로젝트",이수연,"화2,3,4",3학점,5
367404,전공,핀테크전공,데이터베이스이론및실습,"데이터베이스의 기본개념과 일반 이론에 대하여 학습하며, 데이터베이스 모델을 설계한다.","팀플,실습",강상규,"월1,2,3",3학점,0
614901,전공,핀테크전공,빅데이터,"빅데이터의 기본적인 개념과 기술, 사회에서의 활용의 내용과 데이터분석방법에 대해 학습한다.","중간시험,기말시험",홍진근,"목1,2,3",3학점,1.67
966201,전공,핀테크전공,파이썬응용,파이썬을 활용한 다양한 프로젝트를 수행하여 실제활용할 수 있는 응용 프로그램을 개발한다.,"실습,기말시험",정은화,"화2,3,4",3학점,1.67
966202,전공,핀테크전공,파이썬응용,파이썬을 활용한 다양한 프로젝트를 수행하여 실제활용할 수 있는 응용 프로그램을 개발한다.,"중간시험,팀플,과제",차정희,"목4,5,6",3학점,3.09
966205,전공,핀테크전공,파이썬응용,파이썬을 활용한 다양한 프로젝트를 수행하여 실제활용할 수 있는 응용 프로그램을 개발한다.,"중간시험,팀플,과제",차정희,"금4,5,6",3학점,3.09
367402,전공,핀테크전공,데이터베이스이론및실습,"데이터베이스의 기본개념과 일반 이론에 대하여 학습하며, 데이터베이스 모델을 설계한다.","중간시험,기말시험,실습",한군희,"화2,3,4",3학점,3.56
367406,전공,핀테크전공,데이터베이스이론및실습,"데이터베이스의 기본개념과 일반 이론에 대하여 학습하며, 데이터베이스 모델을 설계한다.","실습,중간시험,기말시험",이창은,"화5,6,7,8",3학점,0
367407,전공,핀테크전공,데이터베이스이론및실습,"데이터베이스의 기본개념과 일반 이론에 대하여 학습하며, 데이터베이스 모델을 설계한다.","실습,중간시험,기말시험",이창은,"수5,6,7,8",3학점,0
623901,전공,핀테크전공,캡스톤디자인,한이음의 등록된 프로젝트를 검토하여 1학기동안 주제선정후 프로젝트 진행,팀플,차정희,"금1,2",2학점,3
623903,전공,핀테크전공,캡스톤디자인,팀별 프로젝트 계획을 세우고 정해진 문서포멧에 따라 1학기 동안 프로젝트 진행,팀플,임석구,"월8,9",2학점,5
623904,전공,핀테크전공,캡스톤디자인,팀별 프로젝트 계획을 세우고 정해진 문서포멧에 따라 1학기 동안 프로젝트 진행,팀플,이승화,"목5,6",2학점,0
880101,전공,핀테크전공,블록체인개론,"블록의 기본개념과 응용분야인 암호화폐 개발및해쉬함수,스마트컨트랙트,블록체인 프레임워크를 학습한다.","중간시험,기말시험,실습,퀴즈",김동우,"화4,5,6",3학점,5
